ticker,leg,side,option_type,expiry,strike,entry_date,weekly_expiry,monthly_expiry,scheduled_entry_date,spot,pe_atm,ce_atm,leg4_itm_strikes,spot_timestamp,entry_timestamp,entry_close,exit_timestamp,exit_close,entry_available,exit_available
NIFTY,L1,BUY,PE,2025-10-28,24650.0,2025-10-01,2025-10-07,2025-10-28,2025-10-01,24659.95,24650.0,24700.0,1,2025-10-01 09:30:00+05:30,2025-10-01 09:30:00+05:30,218.85,2025-10-07 15:15:00+05:30,57.1,True,True
NIFTY,L2,SELL,PE,2025-10-07,24850.0,2025-10-01,2025-10-07,2025-10-28,2025-10-01,24659.95,24650.0,24700.0,1,2025-10-01 09:30:00+05:30,2025-10-01 09:30:00+05:30,212.55,2025-10-07 15:15:00+05:30,0.1,True,True
NIFTY,L3,BUY,CE,2025-10-07,24700.0,2025-10-01,2025-10-07,2025-10-28,2025-10-01,24659.95,24650.0,24700.0,1,2025-10-01 09:30:00+05:30,2025-10-01 09:30:00+05:30,112.75,2025-10-07 15:15:00+05:30,404.35,True,True
NIFTY,L4,SELL,CE,2025-10-28,24650.0,2025-10-01,2025-10-07,2025-10-28,2025-10-01,24659.95,24650.0,24700.0,1,2025-10-01 09:30:00+05:30,2025-10-01 09:30:00+05:30,355.6,2025-10-07 15:15:00+05:30,632.45,True,True
NIFTY,L1,BUY,PE,2025-10-28,25150.0,2025-10-08,2025-10-14,2025-10-28,2025-10-08,25167.6,25150.0,25200.0,1,2025-10-08 09:30:00+05:30,2025-10-08 09:30:00+05:30,157.7,2025-10-14 15:15:00+05:30,171.05,True,True
NIFTY,L2,SELL,PE,2025-10-14,25350.0,2025-10-08,2025-10-14,2025-10-28,2025-10-08,25167.6,25150.0,25200.0,1,2025-10-08 09:30:00+05:30,2025-10-08 09:30:00+05:30,189.55,2025-10-14 15:15:00+05:30,204.05,True,True
NIFTY,L3,BUY,CE,2025-10-14,25200.0,2025-10-08,2025-10-14,2025-10-28,2025-10-08,25167.6,25150.0,25200.0,1,2025-10-08 09:30:00+05:30,2025-10-08 09:30:00+05:30,112.9,2025-10-14 15:15:00+05:30,0.1,True,True
NIFTY,L4,SELL,CE,2025-10-28,25150.0,2025-10-08,2025-10-14,2025-10-28,2025-10-08,25167.6,25150.0,25200.0,1,2025-10-08 09:30:00+05:30,2025-10-08 09:30:00+05:30,280.95,2025-10-14 15:15:00+05:30,232.25,True,True
NIFTY,L1,BUY,PE,2025-10-28,25250.0,2025-10-15,2025-10-20,2025-10-28,2025-10-15,25262.25,25250.0,25300.0,1,2025-10-15 09:30:00+05:30,2025-10-15 09:30:00+05:30,132.1,2025-10-20 15:15:00+05:30,13.55,True,True
NIFTY,L2,SELL,PE,2025-10-20,25450.0,2025-10-15,2025-10-20,2025-10-28,2025-10-15,25262.25,25250.0,25300.0,1,2025-10-15 09:30:00+05:30,2025-10-15 09:30:00+05:30,181.45,2025-10-20 15:15:00+05:30,0.05,True,True
NIFTY,L3,BUY,CE,2025-10-20,25300.0,2025-10-15,2025-10-20,2025-10-28,2025-10-15,25262.25,25250.0,25300.0,1,2025-10-15 09:30:00+05:30,2025-10-15 09:30:00+05:30,130.0,2025-10-20 15:15:00+05:30,546.95,True,True
NIFTY,L4,SELL,CE,2025-10-28,25250.0,2025-10-15,2025-10-20,2025-10-28,2025-10-15,25262.25,25250.0,25300.0,1,2025-10-15 09:30:00+05:30,2025-10-15 09:30:00+05:30,247.65,2025-10-20 15:15:00+05:30,691.05,True,True
NIFTY,L1,BUY,PE,2025-10-28,25850.0,2025-10-20,2025-10-28,2025-10-28,2025-10-22,25868.9,25850.0,25900.0,1,2025-10-20 09:30:00+05:30,2025-10-20 09:30:00+05:30,124.05,2025-10-28 15:15:00+05:30,0.15,True,True
NIFTY,L2,SELL,PE,2025-10-28,26050.0,2025-10-20,2025-10-28,2025-10-28,2025-10-22,25868.9,25850.0,25900.0,1,2025-10-20 09:30:00+05:30,2025-10-20 09:30:00+05:30,226.05,2025-10-28 15:15:00+05:30,110.35,True,True
NIFTY,L3,BUY,CE,2025-10-28,25900.0,2025-10-20,2025-10-28,2025-10-28,2025-10-22,25868.9,25850.0,25900.0,1,2025-10-20 09:30:00+05:30,2025-10-20 09:30:00+05:30,162.2,2025-10-28 15:15:00+05:30,40.75,True,True
NIFTY,L4,SELL,CE,2025-10-28,25850.0,2025-10-20,2025-10-28,2025-10-28,2025-10-22,25868.9,25850.0,25900.0,1,2025-10-20 09:30:00+05:30,2025-10-20 09:30:00+05:30,192.05,2025-10-28 15:15:00+05:30,90.3,True,True
NIFTY,L1,BUY,PE,2025-11-25,26000.0,2025-10-29,2025-11-04,2025-11-25,2025-10-29,26016.55,26000.0,26050.0,1,2025-10-29 09:30:00+05:30,2025-10-29 09:30:00+05:30,231.1,2025-11-04 15:15:00+05:30,437.9,True,True
NIFTY,L2,SELL,PE,2025-11-04,26200.0,2025-10-29,2025-11-04,2025-11-25,2025-10-29,26016.55,26000.0,26050.0,1,2025-10-29 09:30:00+05:30,2025-10-29 09:30:00+05:30,215.9,2025-11-04 15:15:00+05:30,600.05,True,True
NIFTY,L3,BUY,CE,2025-11-04,26050.0,2025-10-29,2025-11-04,2025-11-25,2025-10-29,26016.55,26000.0,26050.0,1,2025-10-29 09:30:00+05:30,2025-10-29 09:30:00+05:30,175.85,2025-11-04 15:15:00+05:30,0.15,True,True
NIFTY,L4,SELL,CE,2025-11-25,26000.0,2025-10-29,2025-11-04,2025-11-25,2025-10-29,26016.55,26000.0,26050.0,1,2025-10-29 09:30:00+05:30,2025-10-29 09:30:00+05:30,423.2,2025-11-04 15:15:00+05:30,155.5,True,True
NIFTY,L1,BUY,PE,2025-11-25,25700.0,2025-11-04,2025-11-11,2025-11-25,2025-11-05,25708.1,25700.0,25750.0,1,2025-11-04 09:30:00+05:30,2025-11-04 09:30:00+05:30,232.7,2025-11-11 15:15:00+05:30,173.3,True,True
NIFTY,L2,SELL,PE,2025-11-11,25900.0,2025-11-04,2025-11-11,2025-11-25,2025-11-05,25708.1,25700.0,25750.0,1,2025-11-04 09:30:00+05:30,2025-11-04 09:30:00+05:30,247.6,2025-11-11 15:15:00+05:30,207.75,True,True
NIFTY,L3,BUY,CE,2025-11-11,25750.0,2025-11-04,2025-11-11,2025-11-25,2025-11-05,25708.1,25700.0,25750.0,1,2025-11-04 09:30:00+05:30,2025-11-04 09:30:00+05:30,163.45,2025-11-11 15:15:00+05:30,0.1,True,True
NIFTY,L4,SELL,CE,2025-11-25,25700.0,2025-11-04,2025-11-11,2025-11-25,2025-11-05,25708.1,25700.0,25750.0,1,2025-11-04 09:30:00+05:30,2025-11-04 09:30:00+05:30,360.65,2025-11-11 15:15:00+05:30,279.75,True,True
NIFTY,L1,BUY,PE,2025-11-25,25750.0,2025-11-12,2025-11-18,2025-11-25,2025-11-12,25790.25,25750.0,25800.0,1,2025-11-12 09:30:00+05:30,2025-11-12 09:30:00+05:30,143.6,2025-11-18 15:15:00+05:30,80.65,True,True
NIFTY,L2,SELL,PE,2025-11-18,25950.0,2025-11-12,2025-11-18,2025-11-25,2025-11-12,25790.25,25750.0,25800.0,1,2025-11-12 09:30:00+05:30,2025-11-12 09:30:00+05:30,187.25,2025-11-18 15:15:00+05:30,34.8,True,True
NIFTY,L3,BUY,CE,2025-11-18,25800.0,2025-11-12,2025-11-18,2025-11-25,2025-11-12,25790.25,25750.0,25800.0,1,2025-11-12 09:30:00+05:30,2025-11-12 09:30:00+05:30,184.05,2025-11-18 15:15:00+05:30,115.5,True,True
NIFTY,L4,SELL,CE,2025-11-25,25750.0,2025-11-12,2025-11-18,2025-11-25,2025-11-12,25790.25,25750.0,25800.0,1,2025-11-12 09:30:00+05:30,2025-11-12 09:30:00+05:30,310.8,2025-11-18 15:15:00+05:30,286.5,True,True
NIFTY,L1,BUY,PE,2025-11-25,25900.0,2025-11-19,2025-11-25,2025-11-25,2025-11-19,25901.4,25900.0,25950.0,1,2025-11-19 09:30:00+05:30,2025-11-19 09:30:00+05:30,130.5,2025-11-25 15:15:00+05:30,14.7,True,True
NIFTY,L2,SELL,PE,2025-11-25,26100.0,2025-11-19,2025-11-25,2025-11-25,2025-11-19,25901.4,25900.0,25950.0,1,2025-11-19 09:30:00+05:30,2025-11-19 09:30:00+05:30,241.35,2025-11-25 15:15:00+05:30,213.6,True,True
NIFTY,L3,BUY,CE,2025-11-25,25950.0,2025-11-19,2025-11-25,2025-11-25,2025-11-19,25901.4,25900.0,25950.0,1,2025-11-19 09:30:00+05:30,2025-11-19 09:30:00+05:30,140.9,2025-11-25 15:15:00+05:30,0.15,True,True
NIFTY,L4,SELL,CE,2025-11-25,25900.0,2025-11-19,2025-11-25,2025-11-25,2025-11-19,25901.4,25900.0,25950.0,1,2025-11-19 09:30:00+05:30,2025-11-19 09:30:00+05:30,167.95,2025-11-25 15:15:00+05:30,0.35,True,True
NIFTY,L1,BUY,PE,2025-12-30,25950.0,2025-11-26,2025-12-02,2025-12-30,2025-11-26,25991.5,25950.0,26000.0,1,2025-11-26 09:30:00+05:30,2025-11-26 09:30:00+05:30,228.7,2025-12-02 15:15:00+05:30,179.65,True,True
NIFTY,L2,SELL,PE,2025-12-02,26150.0,2025-11-26,2025-12-02,2025-12-30,2025-11-26,25991.5,25950.0,26000.0,1,2025-11-26 09:30:00+05:30,2025-11-26 09:30:00+05:30,191.95,2025-12-02 15:15:00+05:30,123.95,True,True
NIFTY,L3,BUY,CE,2025-12-02,26000.0,2025-11-26,2025-12-02,2025-12-30,2025-11-26,25991.5,25950.0,26000.0,1,2025-11-26 09:30:00+05:30,2025-11-26 09:30:00+05:30,155.25,2025-12-02 15:15:00+05:30,26.4,True,True
NIFTY,L4,SELL,CE,2025-12-30,25950.0,2025-11-26,2025-12-02,2025-12-30,2025-11-26,25991.5,25950.0,26000.0,1,2025-11-26 09:30:00+05:30,2025-11-26 09:30:00+05:30,457.05,2025-12-02 15:15:00+05:30,449.65,True,True
NIFTY,L1,BUY,PE,2025-12-30,25950.0,2025-12-03,2025-12-09,2025-12-30,2025-12-03,25966.4,25950.0,26000.0,1,2025-12-03 09:30:00+05:30,2025-12-03 09:30:00+05:30,212.0,2025-12-09 15:15:00+05:30,230.35,True,True
NIFTY,L2,SELL,PE,2025-12-09,26150.0,2025-12-03,2025-12-09,2025-12-30,2025-12-03,25966.4,25950.0,26000.0,1,2025-12-03 09:30:00+05:30,2025-12-03 09:30:00+05:30,216.55,2025-12-09 15:15:00+05:30,311.15,True,True
NIFTY,L3,BUY,CE,2025-12-09,26000.0,2025-12-03,2025-12-09,2025-12-30,2025-12-03,25966.4,25950.0,26000.0,1,2025-12-03 09:30:00+05:30,2025-12-03 09:30:00+05:30,140.4,2025-12-09 15:15:00+05:30,0.1,True,True
NIFTY,L4,SELL,CE,2025-12-30,25950.0,2025-12-03,2025-12-09,2025-12-30,2025-12-03,25966.4,25950.0,26000.0,1,2025-12-03 09:30:00+05:30,2025-12-03 09:30:00+05:30,384.0,2025-12-09 15:15:00+05:30,247.65,True,True
NIFTY,L1,BUY,PE,2025-12-30,25850.0,2025-12-10,2025-12-16,2025-12-30,2025-12-10,25898.7,25850.0,25900.0,1,2025-12-10 09:30:00+05:30,2025-12-10 09:30:00+05:30,171.6,2025-12-16 15:15:00+05:30,139.44,True,True
NIFTY,L2,SELL,PE,2025-12-16,26050.0,2025-12-10,2025-12-16,2025-12-30,2025-12-10,25898.7,25850.0,25900.0,1,2025-12-10 09:30:00+05:30,2025-12-10 09:30:00+05:30,200.85,2025-12-16 15:15:00+05:30,184.4,True,True
NIFTY,L3,BUY,CE,2025-12-16,25900.0,2025-12-10,2025-12-16,2025-12-30,2025-12-10,25898.7,25850.0,25900.0,1,2025-12-10 09:30:00+05:30,2025-12-10 09:30:00+05:30,144.0,2025-12-16 15:15:00+05:30,0.05,True,True
NIFTY,L4,SELL,CE,2025-12-30,25850.0,2025-12-10,2025-12-16,2025-12-30,2025-12-10,25898.7,25850.0,25900.0,1,2025-12-10 09:30:00+05:30,2025-12-10 09:30:00+05:30,323.35,2025-12-16 15:15:00+05:30,239.95,True,True
NIFTY,L1,BUY,PE,2025-12-30,25850.0,2025-12-17,2025-12-23,2025-12-30,2025-12-17,25898.2,25850.0,25900.0,1,2025-12-17 09:30:00+05:30,2025-12-17 09:30:00+05:30,127.0,2025-12-23 15:15:00+05:30,19.1,True,True
NIFTY,L2,SELL,PE,2025-12-23,26050.0,2025-12-17,2025-12-23,2025-12-30,2025-12-17,25898.2,25850.0,25900.0,1,2025-12-17 09:30:00+05:30,2025-12-17 09:30:00+05:30,186.85,2025-12-23 15:15:00+05:30,0.1,True,True
NIFTY,L3,BUY,CE,2025-12-23,25900.0,2025-12-17,2025-12-23,2025-12-30,2025-12-17,25898.2,25850.0,25900.0,1,2025-12-17 09:30:00+05:30,2025-12-17 09:30:00+05:30,143.9,2025-12-23 15:15:00+05:30,278.0,True,True
NIFTY,L4,SELL,CE,2025-12-30,25850.0,2025-12-17,2025-12-23,2025-12-30,2025-12-17,25898.2,25850.0,25900.0,1,2025-12-17 09:30:00+05:30,2025-12-17 09:30:00+05:30,253.3,2025-12-23 15:15:00+05:30,374.95,True,True
NIFTY,L1,BUY,PE,2025-12-30,26200.0,2025-12-24,2025-12-30,2025-12-30,2025-12-24,26217.55,26200.0,26250.0,1,2025-12-24 09:30:00+05:30,2025-12-24 09:30:00+05:30,82.5,2025-12-30 15:15:00+05:30,262.2,True,True
NIFTY,L2,SELL,PE,2025-12-30,26400.0,2025-12-24,2025-12-30,2025-12-30,2025-12-24,26217.55,26200.0,26250.0,1,2025-12-24 09:30:00+05:30,2025-12-24 09:30:00+05:30,196.2,2025-12-30 15:15:00+05:30,461.6,True,True
NIFTY,L3,BUY,CE,2025-12-30,26250.0,2025-12-24,2025-12-30,2025-12-30,2025-12-24,26217.55,26200.0,26250.0,1,2025-12-24 09:30:00+05:30,2025-12-24 09:30:00+05:30,98.65,2025-12-30 15:15:00+05:30,0.15,True,True
NIFTY,L4,SELL,CE,2025-12-30,26200.0,2025-12-24,2025-12-30,2025-12-30,2025-12-24,26217.55,26200.0,26250.0,1,2025-12-24 09:30:00+05:30,2025-12-24 09:30:00+05:30,126.6,2025-12-30 15:15:00+05:30,0.1,True,True
NIFTY,L1,BUY,PE,2026-01-27,26000.0,2025-12-31,2026-01-06,2026-01-27,2025-12-31,26012.45,26000.0,26050.0,1,2025-12-31 09:30:00+05:30,2025-12-31 09:30:00+05:30,174.6,2026-01-06 15:15:00+05:30,107.85,True,True
NIFTY,L2,SELL,PE,2026-01-06,26200.0,2025-12-31,2026-01-06,2026-01-27,2025-12-31,26012.45,26000.0,26050.0,1,2025-12-31 09:30:00+05:30,2025-12-31 09:30:00+05:30,185.65,2026-01-06 15:15:00+05:30,27.8,True,True
NIFTY,L3,BUY,CE,2026-01-06,26050.0,2025-12-31,2026-01-06,2026-01-27,2025-12-31,26012.45,26000.0,26050.0,1,2025-12-31 09:30:00+05:30,2025-12-31 09:30:00+05:30,111.85,2026-01-06 15:15:00+05:30,122.6,True,True
NIFTY,L4,SELL,CE,2026-01-27,26000.0,2025-12-31,2026-01-06,2026-01-27,2025-12-31,26012.45,26000.0,26050.0,1,2025-12-31 09:30:00+05:30,2025-12-31 09:30:00+05:30,356.55,2026-01-06 15:15:00+05:30,392.9,True,True
NIFTY,L1,BUY,PE,2026-01-27,26100.0,2026-01-07,2026-01-13,2026-01-27,2026-01-07,26128.95,26100.0,26150.0,1,2026-01-07 09:30:00+05:30,2026-01-07 09:30:00+05:30,155.55,2026-01-13 15:15:00+05:30,379.35,True,True
NIFTY,L2,SELL,PE,2026-01-13,26300.0,2026-01-07,2026-01-13,2026-01-27,2026-01-07,26128.95,26100.0,26150.0,1,2026-01-07 09:30:00+05:30,2026-01-07 09:30:00+05:30,192.4,2026-01-13 15:15:00+05:30,557.79,True,True
NIFTY,L3,BUY,CE,2026-01-13,26150.0,2026-01-07,2026-01-13,2026-01-27,2026-01-07,26128.95,26100.0,26150.0,1,2026-01-07 09:30:00+05:30,2026-01-07 09:30:00+05:30,108.4,2026-01-13 15:15:00+05:30,0.1,True,True
NIFTY,L4,SELL,CE,2026-01-27,26100.0,2026-01-07,2026-01-13,2026-01-27,2026-01-07,26128.95,26100.0,26150.0,1,2026-01-07 09:30:00+05:30,2026-01-07 09:30:00+05:30,290.5,2026-01-13 15:15:00+05:30,78.85,True,True
NIFTY,L1,BUY,PE,2026-01-27,25700.0,2026-01-14,2026-01-20,2026-01-27,2026-01-14,25744.95,25700.0,25750.0,1,2026-01-14 09:30:00+05:30,2026-01-14 09:30:00+05:30,147.9,2026-01-20 15:15:00+05:30,464.15,True,True
