ticker,test_block_1,test_block_2,purged_train_blocks,train_trades,train_net_pnl,train_mean_pnl,train_win_rate_pct,train_std_pnl,train_trade_sharpe,test_trades,test_net_pnl,test_mean_pnl,test_win_rate_pct,test_std_pnl,test_trade_sharpe
NIFTY,1,2,"0,1,2,3",15,-15287.712499999881,-1019.1808333333254,33.33333333333333,3115.2745387684613,-0.3271560245012084,12,-34716.221249999915,-2893.018437499993,25.0,3319.644550138884,-0.8714843995508368
NIFTY,1,3,"0,1,2,3,4",10,-4311.052499999911,-431.1052499999911,40.0,3254.6996682269914,-0.13245623066500545,12,-18334.428499999947,-1527.8690416666623,33.33333333333333,3077.4666286168467,-0.4964697350279168
NIFTY,1,4,"0,1,2,3,4,5",5,-6340.664999999961,-1268.132999999992,20.0,3701.7670766633105,-0.3425750388225557,11,-34492.441249999945,-3135.6764772727224,9.090909090909092,2538.2733180349946,-1.2353580896876022
NIFTY,1,5,"0,1,2,4,5,6",6,5181.35275000002,863.55879166667,66.66666666666666,1370.0696658093816,0.6303028329267581,11,-21486.168749999924,-1953.2880681818112,27.27272727272727,3327.2496613489025,-0.5870578606926441
NIFTY,1,6,"0,1,2,5,6,7",11,-5795.30724999995,-526.8461136363591,45.45454545454545,2550.6962817427348,-0.20654992027368987,11,-29856.446249999928,-2714.22238636363,9.090909090909092,3164.6113124302806,-0.8576795436780601
NIFTY,2,3,"1,2,3,4",10,-4311.052499999911,-431.1052499999911,40.0,3254.6996682269914,-0.13245623066500545,12,-6019.08724999993,-501.5906041666608,58.333333333333336,3221.5790757637574,-0.15569712627579876
NIFTY,2,4,"1,2,3,4,5",5,-6340.664999999961,-1268.132999999992,20.0,3701.7670766633105,-0.3425750388225557,11,-22177.099999999922,-2016.0999999999929,36.36363636363637,3359.5563909973657,-0.6001089921879432
NIFTY,2,5,"1,2,3,4,5,6",0,,,,,,11,-9170.827499999901,-833.7115909090819,54.54545454545454,3605.8389684772965,-0.23121154277756018
NIFTY,2,6,"1,2,3,5,6,7",5,-10976.65999999997,-2195.331999999994,20.0,2745.7458095201287,-0.7995394156255382,11,-17541.104999999912,-1594.6459090909011,36.36363636363637,3717.590923683477,-0.4289460410858999
NIFTY,3,4,"2,3,4,5",11,-29856.446249999928,-2714.22238636363,9.090909090909092,3164.6113124302806,-0.8576795436780601,11,-5795.30724999995,-526.8461136363591,45.45454545454545,2550.6962817427348,-0.20654992027368987
NIFTY,3,5,"2,3,4,5,6",6,-23515.781249999967,-3919.2968749999945,0.0,2287.6289000798324,-1.713257283496996,11,7210.96525000007,655.5422954545519,63.63636363636363,2085.084811332259,0.3143959861448969
NIFTY,3,6,"2,3,4,5,6,7",6,-23515.781249999967,-3919.2968749999945,0.0,2287.6289000798324,-1.713257283496996,11,-1159.312249999939,-105.39202272726719,45.45454545454545,2767.5042798659333,-0.038081972806333915
NIFTY,4,5,"3,4,5,6",12,-34716.221249999915,-2893.018437499993,25.0,3319.644550138884,-0.8714843995508368,10,-8947.04749999992,-894.704749999992,40.0,2992.4339685920613,-0.2989889699791605
NIFTY,4,6,"3,4,5,6,7",12,-34716.221249999915,-2893.018437499993,25.0,3319.644550138884,-0.8714843995508368,10,-17317.32499999993,-1731.7324999999933,20.0,3111.2348946192055,-0.5566061575726656
NIFTY,5,6,"4,5,6,7",18,-29534.868499999902,-1640.8260277777724,38.88888888888889,3317.098162130514,-0.4946570609547167,10,-4311.052499999911,-431.1052499999911,40.0,3254.6996682269914,-0.13245623066500545
SENSEX,1,2,"0,1,2,3",13,-8566.614999999936,-658.9703846153797,38.46153846153847,3449.115515590834,-0.19105488976425247,10,-10082.59999999996,-1008.259999999996,20.0,2226.978529103702,-0.452747966279582
SENSEX,1,3,"0,1,2,3,4",8,4809.455000000038,601.1818750000048,50.0,2990.2735781218826,0.20104577701468784,10,-20461.603999999985,-2046.1603999999984,20.0,3067.939149466704,-0.666949473347827
SENSEX,1,4,"0,1,2,3,4,5",4,-2735.379999999986,-683.8449999999965,25.0,1819.8979517132266,-0.37576008003978156,10,-19061.224999999966,-1906.1224999999965,30.0,3267.9611841009178,-0.583275746748017
SENSEX,1,5,"0,1,2,4,5,6",5,-14776.44899999999,-2955.2897999999977,0.0,2888.70809632138,-1.0230489552625295,9,1859.6800000000312,206.6311111111146,55.55555555555556,3585.096458078028,0.057636137138103574
SENSEX,1,6,"0,1,2,5,6,7",10,-28152.518999999964,-2815.2518999999966,10.0,2994.6100515898165,-0.9401063415603644,9,-8420.53499999998,-935.6149999999977,33.33333333333333,2585.029867377019,-0.3619358568376421
SENSEX,2,3,"1,2,3,4",8,4809.455000000038,601.1818750000048,50.0,2990.2735781218826,0.20104577701468784,10,-19173.893999999957,-1917.3893999999957,0.0,2249.776181030322,-0.8522578450990159
SENSEX,2,4,"1,2,3,4,5",4,-2735.379999999986,-683.8449999999965,25.0,1819.8979517132266,-0.37576008003978156,10,-17773.51499999994,-1777.351499999994,10.0,2507.735952292925,-0.7087474653680701
SENSEX,2,5,"1,2,3,4,5,6",0,,,,,,9,3147.390000000057,349.71000000000635,33.33333333333333,2689.010141849367,0.1300515734609663
SENSEX,2,6,"1,2,3,5,6,7",5,-13376.069999999974,-2675.213999999995,20.0,3432.7307006365213,-0.7793253340566266,9,-7132.824999999953,-792.5361111111059,11.11111111111111,1194.9722923194117,-0.6632255125956208
SENSEX,3,4,"2,3,4,5",9,-8420.53499999998,-935.6149999999977,33.33333333333333,2585.029867377019,-0.3619358568376421,10,-28152.518999999964,-2815.2518999999966,10.0,2994.6100515898165,-0.9401063415603644
SENSEX,3,5,"2,3,4,5,6",5,-5685.154999999993,-1137.0309999999986,40.0,3281.2556705101474,-0.34652313448748134,9,-7231.613999999966,-803.5126666666629,33.33333333333333,3951.4772791666483,-0.20334487835803036
SENSEX,3,6,"2,3,4,5,6,7",5,-5685.154999999993,-1137.0309999999986,40.0,3281.2556705101474,-0.34652313448748134,9,-17511.828999999976,-1945.758777777775,11.11111111111111,2616.7750543676734,-0.7435712804316514
SENSEX,4,5,"3,4,5,6",10,-10082.59999999996,-1008.259999999996,20.0,2226.978529103702,-0.452747966279582,9,-5831.23499999995,-647.9149999999944,44.44444444444444,4074.5722694995857,-0.15901423686849156
SENSEX,4,6,"3,4,5,6,7",10,-10082.59999999996,-1008.259999999996,20.0,2226.978529103702,-0.452747966279582,9,-16111.44999999996,-1790.1611111111067,22.22222222222222,2869.733880253291,-0.6238073583858242
SENSEX,5,6,"4,5,6,7",15,-24859.048999999948,-1657.2699333333298,13.333333333333334,2544.600094763291,-0.6512889537117995,8,4809.455000000038,601.1818750000048,50.0,2990.2735781218826,0.20104577701468784
