ticker,test_blocks,test_trades,test_mean_pnl,test_total_pnl,test_roc_pct,test_win_rate_pct,test_sharpe,test_max_drawdown,positive_path
NIFTY,1-2,12,-2893.018437499993,-34716.221249999915,-23.144147499999942,25.0,-0.8714843995508368,-33383.80874999994,False
NIFTY,1-3,12,-1527.8690416666623,-18334.428499999947,-12.222952333333298,33.33333333333333,-0.4964697350279168,-19876.606249999983,False
NIFTY,1-4,11,-3135.6764772727224,-34492.441249999945,-22.994960833333298,9.090909090909092,-1.2353580896876022,-30853.266249999957,False
NIFTY,1-5,11,-1953.2880681818112,-21486.168749999924,-14.32411249999995,27.27272727272727,-0.5870578606926441,-20708.448749999967,False
NIFTY,1-6,11,-2714.22238636363,-29856.446249999928,-19.904297499999952,9.090909090909092,-0.8576795436780601,-29891.147499999963,False
NIFTY,2-3,12,-501.5906041666608,-6019.08724999993,-4.012724833333286,58.333333333333336,-0.15569712627579876,-16468.983749999956,False
NIFTY,2-4,11,-2016.0999999999929,-22177.099999999922,-14.78473333333328,36.36363636363637,-0.6001089921879432,-25138.88124999992,False
NIFTY,2-5,11,-833.7115909090819,-9170.827499999901,-6.113884999999934,54.54545454545454,-0.23121154277756018,-16468.983749999956,False
NIFTY,2-6,11,-1594.6459090909011,-17541.104999999912,-11.694069999999941,36.36363636363637,-0.4289460410858999,-24176.762499999924,False
NIFTY,3-4,11,-526.8461136363591,-5795.30724999995,-3.863538166666633,45.45454545454545,-0.20654992027368987,-10976.659999999974,False
NIFTY,3-5,11,655.5422954545519,7210.96525000007,4.8073101666667135,63.63636363636363,0.3143959861448969,-3333.3487500000047,True
NIFTY,3-6,11,-105.39202272726719,-1159.312249999939,-0.7728748333332927,45.45454545454545,-0.038081972806333915,-10014.54124999998,False
NIFTY,4-5,10,-894.704749999992,-8947.04749999992,-5.96469833333328,40.0,-0.2989889699791605,-11288.188749999972,False
NIFTY,4-6,10,-1731.7324999999933,-17317.32499999993,-11.544883333333287,20.0,-0.5566061575726656,-20470.887499999983,False
NIFTY,5-6,10,-431.1052499999911,-4311.052499999911,-2.8740349999999406,40.0,-0.13245623066500545,-11528.444999999978,False
SENSEX,1-2,10,-1008.259999999996,-10082.59999999996,-6.721733333333307,20.0,-0.452747966279582,-13179.804999999935,False
SENSEX,1-3,10,-2046.1603999999984,-20461.603999999985,-13.641069333333322,20.0,-0.666949473347827,-23558.808999999965,False
SENSEX,1-4,10,-1906.1224999999965,-19061.224999999966,-12.707483333333311,30.0,-0.583275746748017,-22158.42999999995,False
SENSEX,1-5,9,206.6311111111146,1859.6800000000312,1.2397866666666875,55.55555555555556,0.057636137138103574,-10210.109999999986,True
SENSEX,1-6,9,-935.6149999999977,-8420.53499999998,-5.613689999999987,33.33333333333333,-0.3619358568376421,-12359.784999999974,False
SENSEX,2-3,10,-1917.3893999999957,-19173.893999999957,-12.782595999999971,0.0,-0.8522578450990159,-18847.248999999967,False
SENSEX,2-4,10,-1777.351499999994,-17773.51499999994,-11.84900999999996,10.0,-0.7087474653680701,-17446.869999999966,False
SENSEX,2-5,9,349.71000000000635,3147.390000000057,2.0982600000000384,33.33333333333333,0.1300515734609663,-4655.514999999956,True
SENSEX,2-6,9,-792.5361111111059,-7132.824999999953,-4.755216666666636,11.11111111111111,-0.6632255125956208,-7648.224999999977,False
SENSEX,3-4,10,-2815.2518999999966,-28152.518999999964,-18.768345999999976,10.0,-0.9401063415603644,-28140.084999999963,False
SENSEX,3-5,9,-803.5126666666629,-7231.613999999966,-4.8210759999999775,33.33333333333333,-0.20334487835803036,-15348.729999999981,False
SENSEX,3-6,9,-1945.758777777775,-17511.828999999976,-11.674552666666651,11.11111111111111,-0.7435712804316514,-18341.439999999973,False
SENSEX,4-5,9,-647.9149999999944,-5831.23499999995,-3.8874899999999664,44.44444444444444,-0.15901423686849156,-12945.859999999986,False
SENSEX,4-6,9,-1790.1611111111067,-16111.44999999996,-10.74096666666664,22.22222222222222,-0.6238073583858242,-15938.569999999978,False
SENSEX,5-6,8,601.1818750000048,4809.455000000038,3.206303333333359,50.0,0.20104577701468784,-3577.4249999999884,True
